ID,Title,Author,Category,Available
FI5678,To Kill a Mockingbird,Harper Lee,Fiction,1
EP4321,The Divine Comedy,Dante Alighieri,Epic,5
FI9876,Of Mice and Men,John Steinbeck,Fiction,6
DY7654,Animal Farm,George Orwell,Political Satire,2
DY4321,1984,George Orwell,Dystopian,6
PA6789,The Road,Cormac McCarthy,Post-Apocalyptic,9
PH9087,The Alchemist,Paulo Coelho,Philosophy,2
DY5432,Fahrenheit 451,Ray Bradbury,Dystopian,7
RO2345,Jane Eyre,Charlotte Bront‰,Romance,1
FI8765,The Catcher in the Rye,J.D. Salinger,Fiction,4
HI9087,War and Peace,Leo Tolstoy,Historical,2
FI6543,Great Expectations,Charles Dickens,Fiction,6
GO9876,Dracula,Bram Stoker,Gothic,8
HI2345,The Scarlet Letter,Nathaniel Hawthorne,Historical,7
RO3456,Pride and Prejudice,Jane Austen,Romance,1
HI5678,A Tale of Two Cities,Charles Dickens,Historical,3
DY1234,Brave New World,Aldous Huxley,Dystopian,9
CL7890,Don Quixote,Miguel de Cervantes,Classic,2
AC1234,Fundamentals of Physics,David Halliday,Academic,5
AC5678,Organic Chemistry,Paula Yurkanis Bruice,Academic,7
AC3456,Introduction to Algorithms,Thomas H. Cormen,Academic,4
CO4567,Hitchhiker's Guide to Galaxy,Douglas Adams,Comedy,6
CO9876,Good Omens,Neil Gaiman,Comedy,3
CO6543,Bossypants,Tina Fey,Comedy,9
RO5678,Me Before You,Jojo Moyes,Romance,8
RO4321,Twilight,Stephenie Meyer,Romance,2
RO7654,The Notebook,Nicholas Sparks,Romance,6
RO8765,The Kiss Quotient,Helen Hoang,Romance,5
AC8765,Modern Quantum Mechanics,J.J. Sakurai,Academic,7
CO3456,The Importance of Being Earnest,Oscar Wilde,Comedy,8
CO2345,Yes Please,Amy Poehler,Comedy,6
AC5432,Linear Algebra Done Right,Sheldon Axler,Academic,4
RO3476,Outlander,Diana Gabaldon,Romance,3
RO4329,People We Meet on Vacation,Emily Henry,Romance,5
CO6789,The Rosie Project,Graeme Simsion,Comedy,2
AC9876,The Art of Computer Programming,Donald Knuth,Academic,9
CO9871,Why Not Me?,Mindy Kaling,Comedy,1
RO0224,Learn How To Love,Maison Margiela,Romance,2
A12345,the monkey,wu chengen,chinese book,1
